strain	date	clade_membership	country	division	division_exposure	gisaid_epi_isl	originating_lab	pangolin_lineage	recency	region	region_exposure	subclade_membership	submitting_lab	url	author	accession	location
hCoV-19/Denmark/DCGC-32702/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_869706	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-33398/2021	2021-01-11	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_870408	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-30816/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_846911	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-47243/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_1066757	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-36160/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_927301	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-37988/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_929129	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-32810/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_869814	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-49866/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_1126257	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-33811/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_870821	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-36879/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_928020	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-34024/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_871034	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-33699/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_870709	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-31826/2021	2021-01-11	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_856242	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/France/GES-IPP00691/2021	2021-01-11	20I/501Y.V1	France	Champagne Ardenne	Champagne Ardenne	EPI_ISL_872260	Labo Analyses Med	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	NA	Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf	NA	Bezannes
hCoV-19/Denmark/DCGC-33120/2021	2021-01-11	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_870125	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-32772/2021	2021-01-11	20I/501Y.V1	Denmark	Sjaelland	Sjaelland	EPI_ISL_869776	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-33559/2021	2021-01-11	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_870569	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-32953/2021	2021-01-11	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_869957	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/France/HDF-IPP00676/2021	2021-01-11	20I/501Y.V1	France	Nord Pas de Calais	Nord Pas de Calais	EPI_ISL_872297	Hopital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	NA	Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf,Guigon AuréLie	NA	Lille
hCoV-19/England/LOND-12FA9DC/2021	2021-01-11	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1386896	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer	NA	
hCoV-19/France/IDF-IPP01419/2021	2021-01-11	20I/501Y.V1	France	Ile de France	Ile de France	EPI_ISL_941090	Labo Analyses Med	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	NA	Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Merah Kader	NA	SAINT-DENIS
hCoV-19/France/IDF-IPP01411/2021	2021-01-11	20I/501Y.V1	France	Ile de France	Ile de France	EPI_ISL_941083	Labo Analyses Med	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	NA	Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Merah Kader	NA	SAINT-DENIS
hCoV-19/England/LOND-12FA857/2021	2021-01-11	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1386881	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer	NA	
hCoV-19/France/IDF-IPP01431/2021	2021-01-11	20I/501Y.V1	France	Ile de France	Ile de France	EPI_ISL_941102	Labo Analyses Med	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	NA	Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Merah Kader	NA	SAINT-DENIS
hCoV-19/Poland/PL_P1/2021	2021-01-11	20I/501Y.V1	Poland	Śląskie	Śląskie	EPI_ISL_1265393	"1. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Katowicach (WSSE Katowice); 2. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Kielcach (WSSE Kielce); 3. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Szczecinie (WSSE Szczecin); 4. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Lublinie (WSSE Lublin); 5. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Gorzowie Wielkopolskim (WSSE Gorzów Wielkopolski); 6. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Gdańsku (WSSE Gdańsk); 7. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Poznaniu (WSSE Poznań); 8. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Opolu (WSSE Opole); 9. Wojewódzka Stacja Sanitarno-Epidemiologiczna we Wrocławiu (WSSE Wrocław); 10. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Krakowie (WSSE Kraków); 11. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Olsztynie (WSSE Olsztyn); 12. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Bydgoszczy (WSSE Bydgoszcz); 13. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Rzeszowie (WSSE Rzeszów); 14. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Białymstoku (WSSE Białystok);"	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. Human Genome Variation Research Group, Malopolska Centre of Biotechnology, Jagiellonian University;"	NA	Klajmon,A., Mazur-Panasiuk,N., Szulc,P., Kowalski,M., Gromowski,T., Marszalek,K., Labaj,P.P., Branicki,W., Pyrc,K.	NA	Ruda Śląska
hCoV-19/Scotland/EDB15284/2021	2021-01-11	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1104242	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	McHugh M, Dewar R, Cotton S, Rooke S, O’Toole Á, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Templeton K	NA	
hCoV-19/France/IDF-IPP00734/2021	2021-01-11	20I/501Y.V1	France	Ile de France	Ile de France	EPI_ISL_872325	Hopital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	NA	Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf,Brichler Ségolène	NA	Bobigny
hCoV-19/Denmark/DCGC-33925/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_870935	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-33576/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_870586	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-33460/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_870470	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-33549/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_870559	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-32921/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_869925	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-33391/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_870401	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-33076/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_870081	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-33235/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_870240	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-33749/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_870759	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-33966/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_870976	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-32841/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_869845	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-33681/2021	2021-01-11	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_870691	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/England/LOND-12FA909/2021	2021-01-11	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1386889	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer	NA	
hCoV-19/Switzerland/VD-GEN2588/2021	2021-01-11	20I/501Y.V1	Switzerland	Vaud	Vaud	EPI_ISL_1120840	EHNV	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland	NA	Trestan Pillonel, Damien Jacot, Sébastien Aeby, Gilbert Greub, Claire Bertelli	NA	
hCoV-19/Switzerland/VD-GEN2585/2021	2021-01-11	20I/501Y.V1	Switzerland	Vaud	Vaud	EPI_ISL_1120838	EHNV	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland	NA	Trestan Pillonel, Damien Jacot, Sébastien Aeby, Gilbert Greub, Claire Bertelli	NA	
hCoV-19/Germany/BW-RKI-I-026940/2021	2021-01-11	20I/501Y.V1	Germany	Baden-Wurttemberg	Baden-Wurttemberg	EPI_ISL_1157154	Landesgesundheitsamt Baden-Württemberg	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute	NA	unknown	NA	
hCoV-19/Austria/CeMM2420/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_853741	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2427/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_854178	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Poland/PL_P43/2021	2021-01-11	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1265431	"1. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Katowicach (WSSE Katowice); 2. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Kielcach (WSSE Kielce); 3. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Szczecinie (WSSE Szczecin); 4. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Lublinie (WSSE Lublin); 5. Wojewódzka Stacja Sanitarno - Epidemiologiczna w Gorzowie Wielkopolskim (WSSE Gorzów Wielkopolski); 6. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Gdańsku (WSSE Gdańsk); 7. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Poznaniu (WSSE Poznań); 8. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Opolu (WSSE Opole); 9. Wojewódzka Stacja Sanitarno-Epidemiologiczna we Wrocławiu (WSSE Wrocław); 10. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Krakowie (WSSE Kraków); 11. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Olsztynie (WSSE Olsztyn); 12. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Bydgoszczy (WSSE Bydgoszcz); 13. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Rzeszowie (WSSE Rzeszów); 14. Wojewódzka Stacja Sanitarno-Epidemiologiczna w Białymstoku (WSSE Białystok);"	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. Human Genome Variation Research Group, Malopolska Centre of Biotechnology, Jagiellonian University;"	NA	Klajmon,A., Mazur-Panasiuk,N., Szulc,P., Kowalski,M., Gromowski,T., Marszalek,K., Labaj,P.P., Branicki,W., Pyrc,K.	NA	Gdańsk
hCoV-19/Austria/CeMM2412/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_854180	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2428/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_854183	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2422/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_854182	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2421/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_854181	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2426/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_853721	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2424/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_854177	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2413/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_854176	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2414/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_853809	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2419/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_853807	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2416/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_853810	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2423/2021	2021-01-11	20I/501Y.V1	Austria	Tyrol	Tyrol	EPI_ISL_853766	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Alexandra Popa, Benedikt Agerer,  Jakob-Wendelin Genger, Alexander Lercher, Anna Schedl, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
